,title,area,numberOfRooms,price,town,district
1805,PERA DAN ADAKALEDE 5+2 EŞYALI DUBLEX,220,5+2,35.000,Florya,Şenlikköy Mh.
1806,BAKIRKÖYDE YABANCIYA EŞYALI MANZARALI 3+1 145m2 KİRALIK DAİRE,145,3+1,20.000,Cevizlik,Sakızağacı Mh.
1807,YEŞİLYURT EMLAKTAN DEPREM SONU BİNADA 3+1 ARAKAT,165,3+1,30.000,Yeşilköy,Yeşilyurt Mh.
1808,İSTANBUL AYDIN ÜNİVERSİTESİ YANINDA FULL 0 EŞYALI 2+1 REZİDANCE,85,2+1,16.500,Florya,Şenlikköy Mh.
1809,OKÇU GAYRİMENKUL'DEN YEŞİLYURT'TA YENİ BİNADA 3+1 ARAKAT DAİRE,160,3+1,45.000,Yeşilköy,Yeşilyurt Mh.
1810,GLOBAL'DEN BEYTİ BÖLGESİNDE 3+1 300 M2,320,3+1,35.000,Florya,Şenlikköy Mh.
1811,BAKIRKÖY SAHİLDE EŞYALI Y. GİRİŞ (ENTRANCE FLOOR FULL FURNITURE),110,2+1,15.000,Cevizlik,Sakızağacı Mh.
1812,PYRAMID'DEN BAHAR SİTESİNDE ^KISA DÖNEM^ TADİLATLI 1+1 EŞYALI,60,1+1,15.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1813,SAKIZAĞACI TAŞHAN'DA SÜPER KONUM TADİLATLI 3+1 KİRALIK DAİRE,120,3+1,14.000,Cevizlik,Sakızağacı Mh.
1814,OKÇU GAYRİMENKUL'DEN YEŞİLKÖY ÇARŞIDA SAHİLE YAKIN TADİLATLI 3+1,160,3+1,22.000,Yeşilköy,Yeşilköy Mh.
1815,BATI EMLAK TAN İNCİRLİ ANA CAD.ÜZERİNDE ÖN CEPHE BAKIMLI ARA KAT,120,3+1,14.000,Kartaltepe,
1816,HİTİT EMLAK'TAN İYİ KONUMLU 140 M2 3 ODA 1 SALON DAİRE,145,3+1,18.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1817,PERSA'dan YEŞİLKÖY YENİ BİNA FULL EŞYALI 2+1 100M2 LÜKS ARAKAT,100,2+1,22.000,Yeşilköy,Yeşilköy Mh.
1818,POZİTİF EMLAKTAN 5.KISIM ÇARŞI YANI KISA KAT TADİLATLI 3+1,120,3+1,19.500,Ataköy,Ataköy 2-5-6. Kısım Mh.
1819,"FLORYA ADAKALE'DE YENİ BİNA,GENİŞ BAHÇELİ,3+1,150M2, OTOPARKLI",150,3+1,36.500,Florya,Şenlikköy Mh.
1820,incirli CAD sine çok yakın otoparklı 2+1 yüksek giriş,100,2+1,7.200,Zuhuratbaba,
1821,ATAKÖY 9 KISIMDA 1+1 MOBİLYALI KİRALIK DAİRE ATRİUM AVM YANI,45,1+1,11.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1822,3+1 bahçe katı 160 m2,160,3+1,18.000,Yeşilköy,Yeşilköy Mh.
1823,Ataköy Novus Teraslı Penthouse 3+1 Lüx Eşyalı,190,3+1,95.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1824,CAROUSEL AVM KARŞISINDA 3+1 İŞYERİNE VEYA KONUTA 1. KAT,140,3+1,12.500,Zeytinlik,
1825,GÜLŞEN GÜNÜÇ'DEN ATAKOY KONAKLARIN DA LÜKS EŞYALI KİRALIK 4+1,211,4+1,109.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1826,İSTANBUL AYDIN ÜNİVERSİTESİ YANINDA FULL 0 EŞYALI 1+1 REZİDANCE,65,1+1,15.000,Florya,Şenlikköy Mh.
1827,FLORYA HATBOYU'NDA DENİZ MANZARALI EŞYALI LÜX ARAKAT,260,4+1,50.000,Florya,Şenlikköy Mh.
1828,2.kısım Ataköy'de YENİ TADİLAT yapılmış TEMİZ DAİRE,115,2+1,14.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1829,Florya Şenlikköy Orman Manzaralı 2+1 Kiralık,180,2+1,20.000,Florya,Şenlikköy Mh.
1830,PERSA'dan YEŞİLYURT ÇARŞIYA YAKIN GARAJLI 3+1 BAHÇELİ DÜZ GİRİŞ,120,3+1,15.000,Yeşilköy,Yeşilyurt Mh.
1831,KAPİTALDEN GAZİEVRANOS'TA 2+1 90 m² KİRALIK DAİRE,110,2+1,25.000,Yeşilköy,Yeşilköy Mh.
1832,İNCİRLİ CADDESİNE YAKİN 3+1,120,3+1,10.000,Kartaltepe,
1833,TUR EMLAK'TAN ZEYTİNLİKTE 2.KAT 3+1 EBEVENY BANYO_SÜPER DAİRE,145,3+1,13.750,Zeytinlik,
1834,GLOBAL'DEN YENİ BİNADA ULTRA LUX EŞYALI ARAKAT,170,4+1,42.000,Florya,Şenlikköy Mh.
1835,SELENİUM RETRO 9 DA MERKEZİ LOKASYONDA KİRALIK 1+1,72,1+1,13.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1836,TEK EMLAK'TAN KAPALI OTOPARKLI MARMARAYA YAKIN DAİRE!!!,140,3+1,10.500,Cevizlik,Yenimahalle Mah.
1837,Sahibinden Ana Cadde Üzerinde (4+1 ),160,4+1,15.000,Zuhuratbaba,
1838,BAKIRKÖY TAŞHAN DA DENİZ MANZARALI KİRALIK 3+1 DAİRE,160,3+1,10.500,Cevizlik,Sakızağacı Mh.
1839,YEŞİLKÖY'DE NEZİH MERKEZİ KONUM'DA 3+1 KİRALIK DAİRE,110,3+1,12.500,Yeşilköy,Yeşilköy Mh.
1840,NEF22 GÜNCEL OFİSE UYGUN KISMİ EŞYALI KİRALIK DAİRE,48,1+1,12.500,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1841,Florya da deniz manzaralı Full eşyalı kupon villa sahibinden,520,4+2,45.000,Florya,Basınköy Mh.
1842,ARMAĞANDAN İNCİRLİDE 3. ARA KAT 110M2 GENİŞ 2+1 OTOPARK KOMBİ,120,2+1,13.000,Kartaltepe,
1843,CARISMA'DAN ATAKÖY 9-10 'DA ÖNÜ AÇIK B BLOK EŞYALI KİRALIK 2+1,95,2.5+1,11.500,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1844,İSTANBUL AYDIN ÜNİVERSİTESİ YANINDA FULL 0 EŞYALI 1+0 REZİDANCE,55,1+0,14.000,Florya,Şenlikköy Mh.
1845,"YALI ATAKÖY'DE 1+1 99m2, EBEVEYN BANYOLU, SIFIR, TAŞINMAYA HAZIR",99,1+1,25.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1846,POZİTİF'TEN 2.KISIMDA KISA KATLIDA EŞYALI 3+1 KİRALIK DAİRE,145,3+1,30.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1847,Florya Şenlikköy Orman Manzaralı 3+1 Dubleks Kiralık,310,3+1,30.000,Florya,Şenlikköy Mh.
1848,Sahibinden 3+1 marmarayın karşısında çarşı merkezde,130,3+1,10.500,Kartaltepe,
1849,CEKA'DAN ŞENLİKKÖY BÖLGESİN MASRAFSIZ 4+2 250 M2 KİRALIK DUBLEX,260,4+2,29.000,Florya,Şenlikköy Mh.
1850,KAYALARDAN Florya'da Güvenlikli Çift Bahçeli 5+1 Villa/Ofis,350,5+1,32.000,Florya,Basınköy Mh.
1851,Sevcan'dan Remax YEŞİLKÖY KONAKLARI HAVUZ MANZ. EŞYALI ÖZELDAİRE,200,3+1,60.000,Yeşilköy,Yeşilköy Mh.
1852,Capacity AVM karşısı Dubleks Asansör ve Kombili,180,3+2,20.000,Zeytinlik,
1853,EXPERIUM'DAN NEF 22 ATAKÖY KİRALIK 1+1 METROBÜS YANI KONUT/OFİS,53,1+1,9.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1854,OSMANİYE MERKEZDE 3+1 KİRALIK DAİRE,110,3+1,9.500,Kartaltepe,Osmaniye Mah.
1855,YEŞİLYURT EMLAKTAN YEŞİLYURTTA 3+SALON 170m2 KİRALIK ARAKAT,170,3+1,33.000,Yeşilköy,Yeşilyurt Mh.
1856,FLORYA ADAKALE BÖLGESİNDE MÜSTAKİL BAHÇE KULLANIMLI LÜKS DAİRE,180,3+1,40.000,Florya,Şenlikköy Mh.
1857,GÜNVİ EMLAKTAN YEŞİLKÖYDE MERKEZİ KONUMDA 3+1 KİRALIK GİRİŞ KATI,180,3+1,18.000,Yeşilköy,Yeşilköy Mh.
1858,Florya'da Kiralık Mobilyalı/Mobilyasız Çatı Dubleksi!,380,4+2,50.000,Florya,Şenlikköy Mh.
1859,TEK EMLAKTAN MARMARAYA YAKIN 1+1 FULL EŞYALI DAİRE!!!,55,1+1,6.750,Cevizlik,
1860,Turyap&Zirkon İncirli Cd.Üzeri Binada 2+1 Yan Cephe İŞYERİ+KONUT,100,2+1,12.000,Kartaltepe,
1861,HAVUZLU KAPALI OTOPARKLI SİTEDE 200 M2 4 ODA SALON,225,4+1,25.000,Florya,Şenlikköy Mh.
1862,EKSEN'DEN BANYO VE PARKESİ YENİ YÜKSEK GİRİŞ 2+1 75M2 KOMBİLİ,80,2+1,8.250,Cevizlik,
1863,BAKIRKÖY YÜCETARLA CADDE ÜZERİ 3+1 KİRALIK TEMİZ DAİRE,120,3+1,9.000,Zuhuratbaba,
1864,ADRES'TEN SIFIR BİNA LÜX KİRALIK 2+1OTOPARKLI,90,2+1,14.000,Kartaltepe,
1865,PERADAN GÜVENLİKLİ SİTEDE KİRALIK ARAKAT DAİRE,300,5+1,40.000,Florya,Şenlikköy Mh.
1866,BAKIRKÖY YÜRÜYÜŞ YOLU ÜZERİNDE FULL YENİ EŞYALI KİRALIK DAİRE,90,2+1,21.000,Cevizlik,
1867,Gençler Caddesi'nde*Mükemmel konumda*4+1­*Otoparklı,140,4+1,15.000,Zuhuratbaba,
1868,b.köy z.baba 180m2 site içinde 7 yıllık 4+1 kiralık lüks daire,180,4+1,30.000,Zuhuratbaba,
1869,ATAKOY NIVO'DA KİRALIK 1+1 103 M2 DUBLEX RESIDENCE OFİS VE KONUT,103,1+1,16.500,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1870,EVwest'tn KARTALTEPE'DE KİRALIK SIFIR ARAKAT DAİRE,90,2+1,14.000,Kartaltepe,
1871,YEŞİLYURTTA YENİ KEYİFLİ GÜZEL ARAKAT DAİRE,170,3+1,45.000,Yeşilköy,Yeşilyurt Mh.
1872,YEŞİLKÖYDE YENİ KEYİFLİ GÜZEL ARAKAT,150,3+1,28.000,Yeşilköy,Yeşilköy Mh.
1873,"Bakırköy Kartaltepe de Referanslı kiracıya, Eşyalı...1+1 70m2",70,1+1,7.000,Kartaltepe,
1874,ÖZGÜL'DEN ATAKÖY 7-8 BAHAR SİTESİNDE BOŞ 2+1 ÇİFT WC'Lİ KİRALIK,100,2+1,18.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1875,REMZİ EKEN^DEN EKŞİNAR KONAKLARIN^DA ÖN CEPHEDE KİRALIK ARAKAT,260,4+1,85.000,Florya,Şenlikköy Mh.
1876,BAKİRKÖY OSMANIYE ADLIYEYE YAKIN 125 M2 KIRALIK DAIRE,130,3+1,12.000,Kartaltepe,Osmaniye Mah.
1877,İNCİRLİ CADDESİ GÜLDEREN SOKAK DA 2+1 KİRALIK SIFIR DAİRE,120,2+1,15.000,Kartaltepe,
1878,Faturalar dahil eşyalı banyo tuvaletli oda sadece bayan,44,1+0,3.300,Zuhuratbaba,
1879,FLORYADA EŞYALI KİRALIK DAİRE,160,2+1,18.000,Florya,Şenlikköy Mh.
1880,KORU FLORYA KİRALIK 3+1 DAİRE,190,3+1,38.000,Florya,Şenlikköy Mh.
1881,Ataköy 9. Kısım 2+1 Kiralık Daire,100,2.5+1,15.500,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1882,floryada kiralık eşyalı daire temiz kullanışlı arakat,140,2+1,18.000,Florya,Şenlikköy Mh.
1883,MOBILYALI SAHILE MERKEZE YAKIN KIRALIK DAIRE,95,2+1,10.500,Cevizlik,Sakızağacı Mh.
1884,ŞENLİKKÖY AQUA FLORYA KARŞISI EŞYALI KİRALIK DAİRE,130,2+1,20.000,Florya,Şenlikköy Mh.
1885,Ataköy 7-8 Kısım Bahar Sitesinde 55m2 Kısa Katlı 1+1 Kiralık,59,1+1,9.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1886,OKÇU GAYRİMENKUL'DEN YEŞİLKÖY SAHİLİNDE FULL DENİZ MANZARALI 2+1,125,2+1,25.000,Yeşilköy,Yeşilköy Mh.
1887,EKŞİNAR KONAKLARDA PERADAN PEYZAJ&DENİZ MANZARALI KİRALIK DAİRE,205,3+1,45.000,Florya,Şenlikköy Mh.
1888,sahibinden deniz manzaralı 4+1,225,4+1,32.500,Florya,Basınköy Mh.
1889,ADLİYE YOLU ANA CADDE UZERİ KİRALİK YENİ BİNA DUBLEX,210,4+2,26.000,Kartaltepe,Osmaniye Mah.
1890,OSMANİYE DE 2. KAT KOMBİLİ BOYALI OTOPARKLI BAHÇELİ NİZAM,85,2+1,8.250,Kartaltepe,Osmaniye Mah.
1891,SERTAN EMLAK ^^MARMARAY KARŞISI ^^ BOŞ TADİLATLI 3+1,135,3+1,15.500,Ataköy,Ataköy 2-5-6. Kısım Mh.
1892,BAKIRKÖY NİVO ATAKÖY PROJESİNDE E5 CEPHELİ 2+1 KİRALIK REZİDANS.,145,2+1,17.500,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1893,ATAKÖY KONAKLARI'NDA 3+1 D TİPİ CEPHESİ AÇIK GÜNCEL KİRALIK!!,180,3+1,50.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1894,DEMAX'DAN ADAKALE BÖLGESİNDE KİRALIK 3+1 180M2 GENİŞ DAİRE,200,3+1,30.000,Florya,Şenlikköy Mh.
1895,UĞUR EMLAK'TAN; EŞYALI 2+1 (85 m2) TERASLI KİRALIK BAHÇE KATI,85,2+1,16.000,Yeşilköy,Yeşilköy Mh.
1896,KAYALARDAN FLORYADA 3+1 BAHÇE KAT,185,3+1,17.000,Florya,Şenlikköy Mh.
1897,ATAKÖY 2. KISIM'DA DENİZ MANZARALI KOMPLE TADİLATLI KİRALIK 2+1,110,2+1,14.500,Ataköy,Ataköy 2-5-6. Kısım Mh.
1898,NEVİN AKGÜN'DEN LÜX HAVUZLU DAİRE..,170,3+1,32.000,Florya,Şenlikköy Mh.
1899,SAHİBİNDEN KİRALIK DAİRE (2+1),90,2+1,6.800,Zeytinlik,
1900,TUR EMLAK'TAN CAPACİTY AVM YANI 2+1 TADİLATLI EŞYALI LÜKS DAİRE,90,2+1,15.000,Zeytinlik,
1901,FLORYA 'DA BUTİK SİTEDE ULTALÜX KİRALIK BAHÇEKATI DAİRE,180,3+1,40.000,Florya,Şenlikköy Mh.
1902,NEŞE EMLAKTAN ATAKÖY 9-10 KISIM BÜYÜK BLERDEN MASRAFSIZ DAİRE,115,2+1,15.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1903,"METROBUS YANI 2+1, FULLY FURNISHED, NEW FLAT WITH SWIMMING POOL",100,2+1,14.500,Kartaltepe,
1904,ŞENER EMLAK FLORYA FLYN ÇAPRAZ KARŞISI HAVUZLU SİTEDE 5+1,300,5+1,30.000,Florya,Şenlikköy Mh.
1905,KİRALIK SÜPER LÜKS DAİRE,70,1+1,8.000,Kartaltepe,
1906,NEVİN AKGÜN'DEN MASRAFSIZ BAHÇE KATI..,160,3+1,22.000,Florya,Basınköy Mh.
1907,ŞENER EMLAK ATAKÖY 5.KISIM E-2-BLOK DENİZ MANZARALI ÖN DAİRE,125,3+1,20.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1908,BAKIRKÖYDE 2+1 KİRALIK DAİRE 7500 TL,85,2+1,7.500,Cevizlik,Sakızağacı Mh.
1909,BOĞAZİÇİ EMLAK ŞENLİKKÖY MAH. KİRALIK 4+1 İYİ KONUMLU DAİRE,240,4+1,23.000,Florya,Şenlikköy Mh.
1910,SIFIR LÜX 1+1 100 M2 ADLİYE'YE 100 M TERASLI KİRALIK OFİS,100,1+1,12.000,Kartaltepe,Osmaniye Mah.
1911,GÜNYÜZÜ EMLAKTAN -(FOR RENT) MÜSTAKİL BAHÇELİ FULL EŞYALI BAHÇE,160,2+1,30.000,Florya,Şenlikköy Mh.
1912,YEŞİLKÖY KONAKLARINDA GÜNYÜZÜ EMLAKTAN KİRALIK DUBLEX.,350,5+2,95.000,Yeşilköy,Yeşilköy Mh.
1913,Florya Ekşinar Konaklarında Full Eşyalı süper Lüks 77 m2 1+1 Dai,90,1+1,20.000,Florya,Şenlikköy Mh.
1914,MUHTEŞEM KONUMDA TERTEMİZ BOŞ 300 m2 4+1,300,4+1,27.000,Ataköy,Ataköy 1. Kısım Mh.
1915,Bakırköy'de öğrencilere kalabalık aileye uygun 150 m2 4.5+1,150,4.5+1,10.000,Kartaltepe,
1916,GLOBAL^DEN ADAKALE BÖLGESİNDE HAVUZLU SİTEDE 4+1 200m2 DÜZ GİRİŞ,225,4+1,25.000,Florya,Şenlikköy Mh.
1917,GÜNVİ EMLAKTAN YEŞİLKÖY YEŞİLYURT ARASINDA TADİLATLI 3+1 ÜST KAT,160,3+1,19.500,Yeşilköy,Yeşilköy Mh.
1918,Ataköy 9.da kısa bloklarda 2+1 eşyalı daire,85,2+1,16.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1919,Meriç emlaktan kartaltepe merkezde asansörlü,120,3+1,10.000,Kartaltepe,
1920,Yalı Ataköy'de Deniz Manzaralı EŞYALI 99m2 1+1 Kiralık Daire,99,1+1,35.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1921,YEŞİLKÖY'DE 3+1 GENİŞ ARA KAT KİRALIK DAİRE,175,3+1,19.500,Yeşilköy,Yeşilköy Mh.
1922,b.köy istanbul cad.70m2 full komple sıfır eşyalı 1+1 kiralık,70,1+1,16.000,Cevizlik,
1923,BAKIRKÖY MERKEZDE BEKARA UYGUN KİRALIK,80,1+1,7.200,Zeytinlik,
1924,FLORYA ŞENLİKKÖY'de REFERANSLI ADAYA UYGUN 300 M2 4+1 ÖZEL DAİRE,350,4+1,45.000,Florya,Şenlikköy Mh.
1925,CEKADAN HAVUZLU ASANSÖRLÜ EŞYALI EŞYASIZ3+1 180 M2 3.KAT KİRALIK,180,3+1,25.000,Florya,Şenlikköy Mh.
1926,FLORYA 'DA MARMARAY AQUA DURAK KARŞISI EŞYALI DAİRE KİRALIK !!!!,130,2+1,18.000,Florya,Şenlikköy Mh.
1927,DAĞISTAN GAYRİMENKULDEN FULL EŞYALI KISA DÖNEM KİRALIKTIR,180,2+1,30.000,Florya,Şenlikköy Mh.
1928,"METROBUS YANI 1+1, FULLY FURNISHED, NEW FLAT WITH SWIMMING POOL",60,1+1,13.500,Kartaltepe,
1929,YENİ BİNADA 1+1 BÜROYA OFİSE UYGUN,75,1+1,7.000,Cevizlik,
1930,2+1 Mobilyalı Daire (Tüm Faturalar Dahil),70,2+1,18.000,Cevizlik,
1931,İSTANBUL ATAKÖYDE 3+1 EŞYALI KİRALIK SİTE İÇERİSİNDE KİRALIK,140,3+1,15.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1932,ADLİYEYE ÇOK YAKIN 5+1 DUBLEKS KİRALIK DAİRE,175,5+1,12.000,Kartaltepe,Osmaniye Mah.
1933,DOKTORA KİRALIK İŞYERİ RUHSATLI MÜSTAKİL GİRİŞ ÇIKIŞLI BAHÇE KAT,90,2+1,15.000,Zuhuratbaba,
1934,YEŞİLYURT EMLAKTAN YEŞİLKÖYDE 2+SALON 100m2 KISA DÖNEM KİRALIK,100,2+1,12.500,Yeşilköy,Yeşilköy Mh.
1935,MANOLYA'DAN SIFIR BİNADA 2+1 90 M2 BAHÇE KATI,100,2+1,17.500,Yeşilköy,Yeşilköy Mh.
1936,KAYALARDAN FLORYADA 2+1 BAHÇE KAT,100,2+1,15.500,Florya,Şenlikköy Mh.
1937,ATAKÖY ROUTE İSTANBUL'DA LÜKS EŞYALI KİRALIK 2+1 DAİRE,120,2+1,25.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1938,ATAKÖY 7-8. KISIMDA 80m2 FULL EŞYALI TADİLATLI TEMİZ DAİRE 1+1,80,1+1,13.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1939,TEK YETKİLİDEN NEF 22 ATAKÖY KİRALIK 4+1 DAİRE,220,4+1,22.500,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1940,PYRAMID'DEN ATAKÖY 1.KISIM'DA FULL MOBİLYALI LÜX 5+1 DAİRE,300,5+1,55.000,Ataköy,Ataköy 1. Kısım Mh.
1941,Bakırköy Meydana Yakın Kiralık 2+1,80,2+1,8.500,Cevizlik,Yenimahalle Mah.
1942,SIFIR LÜX 4+1 220 M2 ADLİYE'YE 100 M DUBLEX KİRALIK DAİRE,220,4+1,26.000,Kartaltepe,Osmaniye Mah.
1943,STARS^DAN EKŞİNAR KONAKLARINDA ÖN CEPHE LÜX 4+1-260 M2 ARAKAT,260,4+1,85.000,Florya,Şenlikköy Mh.
1944,Ataköy 7-8'de A25 Blok'ta Lüks Mobilyalı Köşe 3+1 Kiralık Daire,140,3+1,22.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1945,PİRAMİT EMLAK HAVUZLU SİTE KORU CEPHE BAHÇE DUBLEKSİ 4+1 KİRALIK,265,4+1,40.000,Yeşilköy,Yeşilköy Mh.
1946,Bakırköy Zuhuratbaba'da 3+1 Kiralık Daire,110,3+1,10.500,Zuhuratbaba,
1947,YEŞİLYURT EMLAKTAN YENİ LÜX 3+SALON 160M2 KİRALIK ARAKAT,160,3+1,45.000,Yeşilköy,Yeşilyurt Mh.
1948,KİRALIK BAKIRKÖY'DE TEMİZ TADİLATLI 90 M2 DAİRE,95,2+1,8.000,Kartaltepe,Osmaniye Mah.
1949,bakırköyde 2oda 1hol kiralık daire 7000TL,80,1+1,7.000,Cevizlik,Sakızağacı Mh.
1950,EŞYALI 3+1 TEMİZ ORMAN MANZARALI,115,3+1,15.000,Zuhuratbaba,
1951,ALİ TOPAL GRMK 2+1 95m2 1.kat bakırköy kiralık daire,100,2+1,8.000,Cevizlik,Sakızağacı Mh.
1952,NEVİN AKGÜN'DEN MUHTEŞEM VİLLA..,300,4+1,75.000,Florya,Basınköy Mh.
1953,"METROBUS YANI 1+0, 24/7 SECURITY, NEW FLAT WITH SWIMMING POOL",48,1+0,12.500,Kartaltepe,
1954,OSMAİNİYE SIFIR BİNA 3+1 KİRALIK ÇATIPİYES,120,3+1,15.000,Kartaltepe,Osmaniye Mah.
1955,CEKA'DAN DEPREM SONRASI HAVUZLU SİTEDE ARA KAT DAİRE 300M2 5+1,300,5+1,40.000,Florya,Şenlikköy Mh.
1956,İncirli nin en güzel lokasyonunda bahçe kullanımlı sıfır 2+1,80,2+1,11.500,Kartaltepe,
1957,Eşyali konut,90,2+1,14.000,Cevizlik,
1958,FLORYA ŞENLİKKÖYDE KIRALIK 4+1 EŞYALI DAİRE,180,4+1,16.000,Florya,Şenlikköy Mh.
1959,ATAKÖY SELENİUM RETRO'DA KİRALIK 1+1 BOŞ DAİRE FOR RENT,80,1+1,11.750,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1960,PERA DAN ORMAN MANZARALI ÖNÜ AÇIK 4+1 ARAKAT,220,4+1,23.000,Florya,Basınköy Mh.
1961,AVRUPA KONUTLARI ATAKÖY'DE OFİSE UYGUN 1+1 78 M2 KİRALIK DAİRE,78,1+1,15.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1962,Bakırköy Kartaltepe Kısmi eşyalı Marmaray Yakın 3+1 Uzmandan,120,3+1,10.500,Kartaltepe,
1963,FLORYA EKŞİNAR KONAKLARINDA TEK YETKİLİ PERA EMLAK KİRALIK DAİRE,205,3+1,45.000,Florya,Şenlikköy Mh.
1964,Emre Ulu'dan Merkezde Ultra Lüks Eşyalı 5+1-300 m2 Kiralık Dublx,320,5+1,38.000,Florya,Şenlikköy Mh.
1965,BAKIRKÖYDE 4+2 DUBLEKS KİRALIK OTOPARKLI DAİRE,230,4+2,11.500,Zeytinlik,
1966,Florya caddesi 3+1 Geniş Balkonlu Temiz Daire,200,3+1,22.000,Florya,Şenlikköy Mh.
1967,KAYALARDAN METROBÜS YAKINI BAHÇE KULLANIMLI 2+1 130 metre²,130,2+1,10.000,Florya,Şenlikköy Mh.
1968,BAKIRKÖY ATAKÖY'DE ŞAHANE MANZARALI 3+1 KİRALIK DAİRE,160,3+1,18.000,Ataköy,Ataköy 3-4-11. Kısım Mh.
1969,PERSA'dan YEŞİLKÖY YEŞİLYURT ARASI TADİLATLI 3+1 150m2 DÜZ GİRİŞ,150,3+1,17.000,Yeşilköy,Yeşilköy Mh.
1970,3651 - İSTANBUL ATAKÖY 9.KISIM KİRALIK DAİRE,105,2.5+1,15.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1971,"Ataköy Konakları "" C "" tipi 4+1 Pozitif Emlak",211,4+1,50.000,Ataköy,Ataköy 2-5-6. Kısım Mh.
1972,3605 - İSTANBUL ATAKÖY 1.KISIM KİRALIK DAİRE,159,3+1,18.000,Ataköy,Ataköy 1. Kısım Mh.
1973,"EVwest'den 3+1, 140 m2 DEPREM SONRASI GENİŞ OTOPARKLI DAİRE",140,3+1,15.000,Kartaltepe,
1974,SERTAN EMLAK FLORYA ADAKALEDE HAVUZLU 4+1 BAHÇE KATI,240,4+1,45.000,Florya,Şenlikköy Mh.
1975,Ataköy 9/10 kısımda tadilatlı boş,116,2+1,14.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1976,GÜNYÜZÜ REAL ESTATE SHORT TERM RENT FULL FURNISHED SEA VIEW 2+1,110,2+1,15.000,Cevizlik,Sakızağacı Mh.
1977,FLORYADA KİRALIK EŞYALI DAİRE,300,4+1,45.000,Florya,Basınköy Mh.
1978,OSMANİYE ADLİYE LOKASYONLU SIFIR 3+1 KİRALIK DAİRE,140,3+1,15.000,Kartaltepe,Osmaniye Mah.
1979,YEŞİLYURTTA DOĞA VE DENİZ MANZARALI KEYİFLİ ÖZEL BAKIMLI KİRALIK,130,3+1,40.000,Yeşilköy,Yeşilköy Mh.
1980,SELENIUM RETRO'DA KİRALIK DAİRE 1+1,73,1+1,16.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
1981,"4E GAYRİMENKUL-AS­ANSÖRLÜ,KAPALI GARAJLI 4+1 280 m2 GENİŞ ARA KAT",280,4+1,33.000,Florya,Şenlikköy Mh.
1982,NEVİN AKGÜN'DEN ADAKALEDE MUHTEŞEM DAİRE..,270,4+1,45.000,Florya,Şenlikköy Mh.
1983,Bakırköy İNCİRLİ cd. Sayfiye sk. İLK KİRACIMIZ SİZ OLUN 2+1 kat3,90,2+1,13.000,Kartaltepe,
1984,FLORYA HAT BOYUNDA DENİZ MANZARALI KİRALIK DAİRE,280,4+1,40.000,Florya,Şenlikköy Mh.
1985,GÜNYÜZÜ EMLAKTAN- ADAKALEDE GENİŞ HAVUZLU BAHÇELİ 4+1,260,4+1,45.000,Florya,Şenlikköy Mh.
1986,BAKIRKÖY FİLDAMI SİTESİNDE DENİZ MANZARALI 4+1; 220 M2 DAİRE,220,4+1,19.000,Kartaltepe,Osmaniye Mah.
1987,BAKIRKÖY ZEYTİNLİK MAH.2+1 KİRALIK DAİRE.,110,2+1,12.000,Zeytinlik,
1988,"Tosun Emlak'tan*Bakırköy Zeytinlik'te Şahane Konum, Eşyalı 2+1",85,2+1,6.500,Zeytinlik,
1989,ALİ KEMAL'DEN ATAKÖY 9 DA B TİPİ 2+1,100,2+1,12.000,Ataköy,Ataköy 7-8-9-10. Kısım Mh.
